# ----------------------------------------
# <REDACTED>
# Browser & OS
# 20130610-20140610
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
12/30/13,"56,033"
12/31/13,"38,448"
1/1/14,"43,022"
1/2/14,"87,267"
1/3/14,"88,418"
1/4/14,"62,619"
1/5/14,"73,761"
1/6/14,"118,338"
1/7/14,"120,120"
1/8/14,"115,994"
1/9/14,"109,068"
1/10/14,"91,380"
1/11/14,"56,043"
1/12/14,"74,743"
1/13/14,"121,891"
1/14/14,"114,032"
1/15/14,"116,373"
1/16/14,"105,526"
1/17/14,"91,509"
1/18/14,"64,018"
1/19/14,"76,973"
1/20/14,"122,278"
1/21/14,"121,730"
1/22/14,"117,255"
1/23/14,"110,478"
1/24/14,"91,444"
1/25/14,"63,003"
1/26/14,"79,284"
1/27/14,"124,186"
1/28/14,"119,040"
1/29/14,"113,718"
1/30/14,"105,418"
1/31/14,"81,605"
2/1/14,"57,740"
2/2/14,"68,688"
2/3/14,"113,618"
2/4/14,"107,864"
2/5/14,"102,399"
2/6/14,"97,543"
2/7/14,"81,427"
2/8/14,"57,831"
2/9/14,"69,205"
2/10/14,"106,391"
2/11/14,"107,080"
2/12/14,"100,268"
2/13/14,"90,007"
2/14/14,"70,080"
2/15/14,"55,165"
2/16/14,"62,093"
2/17/14,"104,093"
2/18/14,"101,649"
2/19/14,"99,922"
2/20/14,"92,988"
2/21/14,"76,878"
2/22/14,"52,617"
2/23/14,"68,422"
2/24/14,"106,149"
2/25/14,"104,911"
2/26/14,"97,388"
2/27/14,"91,751"
2/28/14,"74,973"
3/1/14,"51,624"
3/2/14,"65,629"
3/3/14,"102,935"
3/4/14,"97,830"
3/5/14,"96,438"
3/6/14,"88,531"
3/7/14,"77,041"
3/8/14,"52,057"
3/9/14,"59,131"
3/10/14,"103,793"
3/11/14,"103,722"
3/12/14,"98,431"
3/13/14,"90,956"
3/14/14,"74,507"
3/15/14,"51,477"
3/16/14,"58,945"
3/17/14,"100,829"
3/18/14,"103,635"
3/19/14,"97,651"
3/20/14,"90,794"
3/21/14,"77,175"
3/22/14,"53,419"
3/23/14,"63,561"
3/24/14,"101,681"
3/25/14,"101,753"
3/26/14,"98,054"
3/27/14,"88,899"
3/28/14,"74,617"
3/29/14,"49,041"
3/30/14,"54,715"
3/31/14,"100,490"
4/1/14,"95,252"
4/2/14,"94,550"
4/3/14,"91,276"
4/4/14,"75,374"
4/5/14,"49,910"
4/6/14,"60,851"
4/7/14,"96,664"
4/8/14,"95,427"
4/9/14,"88,231"
4/10/14,"82,459"
4/11/14,"70,339"
4/12/14,"49,086"
4/13/14,"53,300"
4/14/14,"89,444"
4/15/14,"86,819"
4/16/14,"81,759"
4/17/14,"71,964"
4/18/14,"49,364"
4/19/14,"41,381"
4/20/14,"49,965"
4/21/14,"66,775"
4/22/14,"104,505"
4/23/14,"98,866"
4/24/14,"91,906"
4/25/14,"77,949"
4/26/14,"53,266"
4/27/14,"63,077"
4/28/14,"97,494"
4/29/14,"96,732"
4/30/14,"90,123"
5/1/14,"86,133"
5/2/14,"72,276"
5/3/14,"44,411"
5/4/14,"47,087"
5/5/14,"65,641"
5/6/14,"97,429"
5/7/14,"99,514"
5/8/14,"96,167"
